recall_id,manufacturer,model_original,model_key,production_from,production_to,recall_start_date,recall_count,recall_reason,recall_category,source_url,official_check_url,loaded_at
REC-52BD3CEA4E416574,기아,니로 EV (SG2 EV),KIA_NIRO,2022-06-02,2024-07-26,2025-02-26,3603,전기배선 경로 설계 불량으로 인해 전기배선이 승객감지장치에 간섭되어 전기배선이 손상되는 경우 충돌 시 동승석 에어백(정면/측면)이 전개되지 않거나 비정상 전개될 수 있고 에어백 미전개 조건에서 동승석 측면 에어백이 자발 전개되어 탑승자 상해 발생 가능성,탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-6A13CE14556D124E,현대자동차,아이오닉5 N(NE N),HYU_IONIQ5,2023-03-09,2024-09-25,2025-04-09,668,일부 차량에서 레이싱 목적의 주행을 위한 특이모드인 양발운전모드(LFB)의 로직 설계오류로 일부 작동조건에 따라 의도치 않게 제동거리의 증가가 발생하여 안전 운행에 지장을 줄 가능성이 있는 결함,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-CAC73CD6AA80F4CE,기아,셀토스 (SP2),KIA_SELTOS,2024-10-21,2024-12-30,2025-05-28,9636,고압 파이프 제조 불량으로 인해 연결부 기밀성이 저하되어 연료가 누유되는 경우 차량 화재 발생 가능성,연료장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-C6328288AD9216EB,기아,스포티지 (NQ5),KIA_SPORTAGE,2024-10-16,2024-12-30,2025-05-28,3313,고압 파이프 제조 불량으로 인해 연결부 기밀성이 저하되어 연료가 누유되는 경우 차량 화재 발생 가능성,연료장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-DC5E1A422930169C,현대자동차,아반떼(HD),HYU_AVANTE,2008-10-31,2009-07-30,2025-06-10,1473,아반떼(HD) 등 2차종 일부 차량에서 운전석 에어백 전개시 인플레이터의 과도한 내부 압력 증가로 인해 인플레이터 용기가 파손되어 승객이 상해를 입을 가능성이 있는 결함,탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-4C79611B2647518C,현대자동차,싼타페 하이브리드(MX5 HEV),HYU_SANTAFE,2024-04-04,2024-04-04,2025-07-09,2,싼타페 하이브리드(MX5 HEV) 일부 차량에서 차체 하단 와이어링(배선) 경로 설계 불량으로 인해 2열 시트를 접을 시 와이어링(배선)과 시트 회전 장치가 간섭되어 2열 사이드 에어백 오전개 및 미전개 가능성이 있는 결함 사항이 확인,탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-893D909ED60FB8D4,현대자동차,캐스퍼 일렉트릭 (AX1 EV),HYU_CASPER,2024-07-17,2025-03-31,2025-07-10,3725,캐스퍼 일렉트릭(AX1 EV) 일부 차량에서 조수석 하단 운전자 보조 주차 제어기(ADAS PRK ECU) 조립용 차체부 볼트가 노출되어 뒷좌석 승객이 맨발로 탑승시 상해가 발생할 가능성이 있는 결함,차체·구조,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-40D554600827A0C8,현대자동차,스타리아 카고 (US4),HYU_STARIA,2022-12-09,2025-04-21,2025-07-31,2696,"스타리아 카고(US4), 쏠라티(EU) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인",차체·구조,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-4E365F2DAAF289BC,현대자동차,팰리세이드(LX3),HYU_PALISADE,2025-01-02,2025-07-01,2025-09-05,30,"팰리세이드(LX3), 팰리세이드HEV (LX3 HEV) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인",차체·구조,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-70DBCB141D7FE809,현대자동차,팰리세이드 하이브리드(LX3 HEV),HYU_PALISADE,2025-04-11,2025-06-30,2025-09-05,9,"팰리세이드(LX3), 팰리세이드HEV (LX3 HEV) 일부 차량에서 휠 고정용 너트 체결 작업 불량으로 주행 중 너트 풀림에 의한 휠 이탈 발생 가능성이 있는 결함 사항 확인",차체·구조,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
